price,volume,sma
12.72,221189978,11.97
12.82,159126217,11.98
12.67,171460275,11.99
12.74,177791919,12.0
12.7,126669014,12.01
12.5,127524207,12.02
12.67,146607469,12.03
12.82,171211346,12.05
13.06,163362034,12.06
12.79,194586635,12.07
12.81,235888868,12.07
12.81,127648672,12.07
12.64,145892800,12.08
12.36,217191045,12.08
12.21,347120233,12.08
12.42,219997525,12.08
12.37,108296406,12.09
12.59,144965337,12.09
12.74,130595677,12.1
12.73,123529289,12.1
12.8,99278731,12.11
12.75,93352602,12.11
12.58,131446855,12.12
12.74,102354216,12.12
12.71,106465569,12.13
12.8,119550431,12.13
13.05,148301796,12.13
13.11,133012703,12.14
13.01,145579631,12.14
12.9,147093283,12.14
12.78,129515644,12.15
12.95,108549350,12.15
12.99,119887690,12.15
13.04,75927532,12.15
13.14,111010541,12.16
13.05,88229471,12.16
13.3,169260059,12.17
13.59,221904647,12.18
13.74,221828362,12.19
13.92,321669193,12.19
14.11,212674178,12.2
14.14,109633398,12.21
14.12,134345680,12.23
14.1,82560301,12.24
14.09,105975740,12.25
14.47,189158364,12.26
14.52,283759629,12.27
14.51,155761653,12.28
14.39,119915795,12.3
14.76,203507949,12.31
15.15,201873847,12.33
15.28,352026555,12.35
15.54,216231462,12.37
15.45,473729022,12.39
15.84,273971076,12.41
15.41,278793083,12.43
15.3,241915372,12.45
15.74,242124152,12.47
15.89,493410518,12.49
16.02,633927242,12.51
16.17,267575192,12.53
16.79,272766578,12.56
16.79,297278110,12.58
16.61,232688918,12.6
16.76,134658850,12.63
16.88,123111730,12.65
17.26,277058606,12.67
17.57,276103037,12.7
17.47,262066622,12.72
17.67,234535815,12.75
18.03,356679932,12.78
18.43,338716853,12.82
18.21,332180444,12.84
17.24,662963671,12.87
16.5,457231416,12.89
15.7,410625377,12.91
16.41,339082217,12.93
15.94,325001637,12.95
15.64,279752666,12.96
15.74,363067785,12.98
15.55,221924722,13.0
16.11,395099399,13.02
16.41,281591533,13.05
16.81,109958613,13.07
16.55,272622038,13.1
16.74,357515050,13.13
17.2,317846919,13.16
17.32,249250764,13.18
17.22,317003771,13.21
16.93,173652461,13.24
17.0,169906473,13.27
17.35,169015145,13.29
17.77,197096005,13.32
17.76,154661545,13.35
