price,volume,sma
7.87,3044005,10.51
7.88,2275804,10.46
8.08,2847866,10.41
7.81,3129004,10.37
7.58,2172212,10.32
7.49,3575105,10.28
7.87,2572040,10.23
8.08,2359265,10.19
8.49,2530100,10.16
8.93,4362179,10.12
8.85,4405937,10.09
8.95,2893301,10.06
8.93,2572879,10.03
8.61,2064007,10.0
8.57,3437123,9.97
8.48,2253296,9.93
8.54,1989074,9.9
8.4,1142306,9.87
7.94,2580848,9.84
8.15,1631186,9.81
8.67,3421325,9.77
8.69,2000119,9.74
8.67,3107894,9.71
8.62,2400925,9.68
8.64,1828444,9.65
8.29,3366943,9.62
8.5,2292161,9.59
8.45,2024444,9.56
8.51,2000119,9.53
8.56,3022057,9.51
8.81,2481730,9.48
9.02,1548285,9.46
9.22,2319002,9.43
9.37,3012970,9.41
9.8,3100205,9.39
9.6,2477675,9.37
9.43,3891053,9.35
9.66,2105947,9.33
9.72,2460760,9.3
9.67,2515701,9.28
9.77,2013679,9.26
9.81,3247694,9.24
9.66,3896925,9.22
9.7,2970890,9.21
9.65,2718271,9.2
9.67,3904894,9.18
9.86,2018432,9.18
9.84,4654501,9.17
9.8,1776159,9.17
9.83,2246306,9.17
10.09,2588117,9.16
9.97,2673535,9.15
9.36,3842683,9.15
9.68,5414454,9.14
9.57,2995075,9.14
9.76,3061480,9.14
9.82,3380084,9.14
10.35,3909088,9.14
10.65,4403141,9.14
10.65,2741059,9.15
10.94,3467459,9.15
11.31,6300926,9.16
11.5,4041758,9.17
12.02,2874568,9.18
11.86,4139758,9.19
11.66,4395452,9.2
11.34,2598323,9.21
11.35,3243500,9.21
11.4,2603635,9.22
11.37,1535983,9.23
11.42,3432649,9.24
11.61,2694226,9.25
11.61,2000538,9.27
11.81,1882547,9.29
11.63,2489838,9.3
11.51,3144382,9.32
11.4,2128874,9.34
11.32,2842833,9.35
11.42,3236650,9.36
11.68,3374772,9.38
11.8,3501431,9.39
11.8,2364298,9.4
12.02,4405797,9.42
12.25,5441016,9.43
12.07,2519336,9.45
12.85,5971138,9.47
13.09,2929789,9.49
13.14,3286838,9.52
12.71,2530939,9.54
13.1,3112228,9.56
13.37,4971008,9.59
13.42,5370836,9.61
13.24,4631714,9.64
12.74,5362029,9.67
12.82,2049188,9.69
12.38,3716583,9.71
12.97,3141166,9.74
13.07,2337456,9.77
13.05,3297463,9.8
13.12,2022766,9.83
13.26,1997742,9.86
13.24,2809561,9.9
13.01,2234004,9.93
13.12,2180321,9.96
13.01,1921691,9.99
13.01,1649780,10.02
12.57,2825498,10.05
12.42,1968803,10.07
12.48,1606582,10.1
12.49,1419949,10.12
12.69,1383880,10.15
12.83,1517669,10.18
12.97,1722616,10.2
13.14,1742467,10.23
13.15,672718,10.25
13.56,2675073,10.28
14.66,9599507,10.31
14.72,4400345,10.34
15.02,2594408,10.37
14.67,4118508,10.4
14.55,1856404,10.43
14.49,3217916,10.46
14.79,4515121,10.49
14.66,3259577,10.52
14.68,2660114,10.55
